,result,table,duration_in_ms,event_code,header.cycle_id,header.run_id,tag,timestamp,user_message
619,_result,0,0.0,201.0,68,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319014.3072796,CYCLE_END
620,_result,0,23765.0,202.0,68,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319014.3746367,CYCLE_TIME
621,_result,0,0.0,300.0,68,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319014.4397166,QA_PASS
622,_result,0,0.0,200.0,69,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319014.5339894,CYCLE_START
623,_result,0,0.0,300.0,69,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319022.2281058,QA_PASS
624,_result,0,0.0,301.0,69,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319031.9901795,QA_FAIL
625,_result,0,0.0,102.0,69,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319032.251497,TASK_PAUSED
626,_result,0,1725.0,103.0,69,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319033.8195524,TASK_RESUMED
627,_result,0,0.0,300.0,69,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319040.4301257,QA_PASS
628,_result,0,0.0,201.0,69,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319040.4664586,CYCLE_END
629,_result,0,25994.0,202.0,69,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319040.4992092,CYCLE_TIME
630,_result,0,0.0,300.0,69,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319040.5293715,QA_PASS
631,_result,0,0.0,200.0,70,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319040.5856051,CYCLE_START
632,_result,0,0.0,300.0,70,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319042.9467952,QA_PASS
633,_result,0,0.0,300.0,70,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319100.898133,QA_PASS
634,_result,0,0.0,102.0,70,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319101.012137,TASK_PAUSED
635,_result,0,2145.0,103.0,70,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319103.113938,TASK_RESUMED
636,_result,0,0.0,301.0,70,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632319111.7558422,QA_FAIL
637,_result,0,0.0,201.0,70,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319111.8139825,CYCLE_END
638,_result,0,71279.0,202.0,70,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319111.8538036,CYCLE_TIME
639,_result,0,0.0,300.0,70,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632319111.878581,QA_PASS
640,_result,0,0.0,200.0,71,RAFCON_6fe11a087d844888b527cad1140070f4,,1632319111.9145567,CYCLE_START
641,_result,0,0.0,301.0,71,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632319114.9594662,QA_FAIL
642,_result,0,0.0,301.0,71,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632319120.942754,QA_FAIL
