#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:08.888Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:09.666Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:09.69Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:09.706Z,4417,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:09.714Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:09.732Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:11.578Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:11.734Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:11.744Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:14.614Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:17.102Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:17.124Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:17.132Z,7402,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:17.14Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:17.236Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:18.744Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:20.578Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:20.598Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:22.218Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:23.086Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:23.11Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:23.128Z,5964,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:23.136Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:23.154Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:24.142Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:25.958Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:25.986Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:27.674Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:29.364Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:29.386Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:29.404Z,6248,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:29.414Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:29.424Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:29.434Z,84285,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:46.206Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:46.224Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:48.67Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:48.82Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:48.832Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:51.544Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:53.314Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:53.338Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:53.348Z,7128,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:53.356Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:53.372Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:54.062Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:54.698Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:54.73Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:11:55.832Z,0,duration_in_ms,EventClient
